incident,product,year,railroad,product_name,damages,gallons
I-1980071619,UN1267,1980,SOUTHERN RAILWAY SYSTEM,PETROLEUM CRUDE OIL,0,96000.0
I-1980071620,UN2055,1980,SOUTHERN RAILWAY SYSTEM,STYRENE MONOMER  STABILIZED,0,3000.0
I-1980071665,UN2055,1980,ILLINOIS CENTRAL GULF RY,STYRENE MONOMER  STABILIZED,0,2500.0
I-1980071699,UN1830,1980,SOUTHERN PAC TRANSPORTATION CO,SULFURIC ACID,0,6500.0
I-1980081021,UN1760,1980,UNION PACIFIC RR CO.,CORROSIVE LIQUIDS  N.O.S.,0,2000.0
I-1980081025,UN1086,1980,ILLINOIS CENTRAL GULF RY,VINYL CHLORIDE  INHIBITED OR VINYL CHLORIDE  STABILIZED,0,51098.0
I-1980081066,UN2055,1980,NORFOLK & WESTERN RAILWAY CO,STYRENE MONOMER  STABILIZED,0,8000.0
I-1980081399,UN1888,1980,CONSOLIDATED RAIL CORP(CONRAIL,CHLOROFORM,0,28000.0
I-1980090302,UN1993,1980,SOUTHERN PAC TRANSPORTATION CO,FLAMMABLE LIQUIDS  N.O.S.,0,38500.0
I-1980090310,UN1805,1980,UNION PACIFIC RR CO.,PHOSPHORIC ACID SOLUTION,0,1560.0
I-1980090328,UN1789,1980,MISSOURI PACIFIC RAILROAD CO,HYDROCHLORIC ACID  SOLUTION,0,20000.0
I-1980090329,NA1993,1980,MISSOURI PACIFIC RAILROAD CO,FUEL OIL,0,1200.0
I-1980091373,UN1830,1980,ATCHESON TOPEKA & SANTA FE RY,SULFURIC ACID,0,10564.0
I-1980091378,UN1824,1980,BALTIMORE & OHIO RR CO.,SODIUM HYDROXIDE  SOLUTION,0,4000.0
I-1980091379,UN1263,1980,BALTIMORE & OHIO RR CO.,PAINT RELATED MATERIAL INCLUDING PAINT THINNING  DRYING  REMOVING  OR REDUCING COMPOUND,0,2800.0
I-1980091387,UN1805,1980,ILLINOIS CENTRAL GULF RY,PHOSPHORIC ACID SOLUTION,0,2500.0
I-1980100518,UN1824,1980,BALTIMORE & OHIO RR CO.,SODIUM HYDROXIDE  SOLUTION,0,15000.0
I-1980100519,UN1267,1980,BALTIMORE & OHIO RR CO.,PETROLEUM CRUDE OIL,0,227700.0
I-1980100529,UN1805,1980,SOUTHERN RAILWAY SYSTEM,PHOSPHORIC ACID SOLUTION,0,11750.0
I-1980100544,NA1270,1980,ILLINOIS CENTRAL GULF RY,PETROLEUM OIL,0,15000.0
I-1980100552,UN2055,1980,BURLINGTON NORTHERN INC,STYRENE MONOMER  STABILIZED,0,10000.0
I-1980101276,UN1993,1980,BURLINGTON NORTHERN INC,FLAMMABLE LIQUIDS  N.O.S.,0,19830.0
I-1980101494,UN1230,1980,UNION PACIFIC RR CO.,METHANOL,0,20000.0
I-1980101642,UN1789,1980,PORTLAND TERMINAL COMPANY,HYDROCHLORIC ACID  SOLUTION,0,9600.0
I-1980101643,UN2821,1980,LOUISVILLE & NASHVILLE RR,PHENOL SOLUTIONS,0,10014.0
I-1980110936,UN1830,1980,SOUTHERN RAILWAY SYSTEM,SULFURIC ACID,0,5000.0
I-1980120334,UN2789,1980,SOUTHERN PAC TRANSPORTATION CO,ACETIC ACID  GLACIAL OR ACETIC ACID SOLUTION  WITH MORE THAN 80 PERCENT ACID  BY MASS,0,3000.0
I-1980120365,UN1267,1980,BALTIMORE & OHIO RR CO.,PETROLEUM CRUDE OIL,0,5000.0
I-1980120819,UN1824,1980,PORT TERMINAL RAILROAD ASSN,SODIUM HYDROXIDE  SOLUTION,0,6600.0
I-1981010603,UN1208,1981,AKRON CANTON YOUNGSTWN RR CO,HEXANES,0,2031.0
I-1981010605,UN1157,1981,ATCHESON TOPEKA & SANTA FE RY,DIISOBUTYL KETONE,0,27000.0
I-1981010609,UN1271,1981,ATCHESON TOPEKA & SANTA FE RY,PETROLEUM SPIRIT,0,1200.0
I-1981010615,UN1086,1981,BALTIMORE & OHIO RR CO.,VINYL CHLORIDE  INHIBITED OR VINYL CHLORIDE  STABILIZED,0,8000.0
I-1981010622,UN1255,1981,BURLINGTON NORTHERN INC,NAPHTHA  PETROLEUM,0,10207.0
I-1981010641,UN1831,1980,LOUISVILLE & NASHVILLE RR,SULFURIC ACID  FUMING,0,21450.0
I-1981010645,UN1005,1980,MISSOURI PACIFIC RAILROAD CO,AMMONIA ANHYDROUS,0,19806.25
I-1981010665,UN1993,1980,SOUTHERN RAILWAY SYSTEM,FLAMMABLE LIQUIDS  N.O.S.,0,4000.0
I-1981010668,UN1993,1980,SOUTHERN RAILWAY SYSTEM,FLAMMABLE LIQUIDS  N.O.S.,0,20000.0
I-1981010688,UN1987,1980,SOUTHERN RAILWAY SYSTEM,ALCOHOLS  N.O.S.,0,1240.0
I-1981020773,UN1188,1980,ATCHESON TOPEKA & SANTA FE RY,ETHYLENE GLYCOL MONOMETHYL ETHER (METHYL 'CELLOSOLVE'),0,23500.0
I-1981020783,UN1307,1981,BURLINGTON NORTHERN INC,XYLENES,0,25751.0
I-1981020795,UN1198,1981,CONSOLIDATED RAIL CORP(CONRAIL,FORMALDEHYDE SOLUTION (FLASH POINT NOT MORE THAN 141 DEG F.; IN CONTAINERS OVER 110 GALLONS),0,2300.0
I-1981020814,UN1993,1981,NORFOLK & WESTERN RAILWAY CO,FLAMMABLE LIQUIDS  N.O.S.,0,20000.0
I-1981020815,UN1993,1981,NORFOLK & WESTERN RAILWAY CO,FLAMMABLE LIQUIDS  N.O.S.,0,10000.0
I-1981020826,UN2067,1980,SOUTHERN PAC TRANSPORTATION CO,AMMONIUM NITRATE FERTILIZERS,0,18000.0
I-1981030031,UN1805,1981,LOUISVILLE & NASHVILLE RR,PHOSPHORIC ACID SOLUTION,0,42187.5
I-1981030084,UN1268,1981,UNION PACIFIC RR CO.,PETROLEUM DISTILLATE,0,8000.0
I-1981030403,UN1206,1981,ILLINOIS CENTRAL GULF RAILROAD,HEPTANES,0,3646.0
I-1981040829,UN1075,1981,ATCHESON TOPEKA & SANTA FE RY,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,3485.0
I-1981040835,UN1789,1981,CHESAPEAKE & OHIO RWY CO,HYDROCHLORIC ACID  SOLUTION,0,10237.0
I-1981040837,UN1805,1981,CHICAGO MILW ST PAUL & PAC RR,PHOSPHORIC ACID SOLUTION,0,100000.0
I-1981040840,UN1805,1981,CHIC NORTHWESTERN TRANS CO,PHOSPHORIC ACID SOLUTION,0,4000.0
I-1981040852,UN1830,1981,LOUISVILLE & NASHVILLE RR,SULFURIC ACID,0,1500.0
I-1981040855,UN1987,1981,MISSOURI PACIFIC RAILROAD CO,ALCOHOLS  N.O.S.,0,11220.0
I-1981040856,UN1075,1981,NORFOLK & WESTERN RAILWAY CO,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,2000.0
I-1981050015,UN1805,1981,CHICAGO MILW STPAUL & PACIFIC,PHOSPHORIC ACID SOLUTION,0,5368.0
I-1981050242,UN1760,1981,CONSOLIDATED RAIL CORP(CONRAIL,CORROSIVE LIQUIDS  N.O.S.,0,26000.0
I-1981050250,UN1987,1981,SOUTHERN PACIFIC TRANSPORTATIO,ALCOHOLS  N.O.S.,0,50000.0
I-1981050271,UN1049,1981,ATCHISON TOPEKA SANTE FE RWY C,HYDROGEN  COMPRESSED,0,4000.0
I-1981050272,UN1805,1981,SEABOARD COAST LINE RR CO,PHOSPHORIC ACID SOLUTION,0,24387.5
I-1981060152,UN1760,1981,SOUTHERN RAILWAYSYSTEM,CORROSIVE LIQUIDS  N.O.S.,0,10000.0
I-1981060175,UN1805,1981,UNION PACIFIC RR CO.,PHOSPHORIC ACID SOLUTION,0,1100.0
I-1981060803,UN2814,1981,ILLINOIS CENTRAL GULF RAILROAD,INFECTIOUS SUBSTANCES  AFFECTING HUMANS,0,10774.0
I-1981060939,UN1805,1981,SEABOARD COAST LINE RR CO,PHOSPHORIC ACID SOLUTION,0,14748.0
I-1981060976,NA1993,1981,ILLINOIS CENTRAL GULF RAILROAD,FUEL OIL,0,3000.0
I-1981070056,NA1693,1981,ATSF RAILWAY,ORM-A  N.O.S.,0,3833.0
I-1981070340,UN1824,1981,ILLINOIS CENRAL GULLF RR,SODIUM HYDROXIDE  SOLUTION,0,12198.0
I-1981070478,UN1715,1981,SOO LINE RR,ACETIC ANHYDRIDE,0,1600.0
I-1981070718,NA1993,1981,CHICAGO MILWAUKEE ST PAUL PACI,COMBUSTIBLE LIQUID  N.O.S.,0,13960.0
I-1981070719,UN1789,1981,B N RAILWAY COMPANY,HYDROCHLORIC ACID  SOLUTION,0,1500.0
I-1981080034,UN2031,1981,MISSOURI PACIFIC RR,NITRIC ACID (OVER 40%),0,3500.0
I-1981080122,UN1230,1981,MISSOURI PACIFIC RAILROAD CO,METHANOL,0,5000.0
I-1981080122,UN1760,1981,MISSOURI PACIFIC RAILROAD CO,CORROSIVE LIQUIDS  N.O.S.,0,17375.0
I-1981080122,UN2821,1981,MISSOURI PACIFIC RAILROAD CO,PHENOL SOLUTIONS,0,20000.0
I-1981080281,NA1993,1981,JOHNSTONS FUEL LINERS INC,COMBUSTIBLE LIQUID  N.O.S.,0,5000.0
I-1981080891,UN1805,1981,CHICAGO AND NORTH WEST TRANS,PHOSPHORIC ACID SOLUTION,0,1080.0
I-1981090014,UN1777,1981,THE CHESAPEAKE & OHIO RR CO,FLUOROSULFONIC ACID,0,3500.0
I-1981090261,UN1307,1981,LOUISVILLE & NASHVILLE RR CO,XYLENES,0,2000.0
I-1981090605,UN1942,1981,B&O RAILROAD,AMMONIUM NITRATE  WITH NOT MORE THAN 0.2%  OF COMBUSTIBLE MATERIALS  INCLUDING ANY ORGANIC SUBSTANCE CALCULATED AS CARBON TO THE EXCLUSION OF ANY OTHER ADDED SUBSTANCE,0,1500.0
I-1981100756,UN1824,1981,CONSOLIDATED RAIL CORP(CONRAIL,SODIUM HYDROXIDE  SOLUTION,0,10000.0
I-1981110112,UN1307,1981,MISSOURI PACIFIC RAIL,XYLENES,0,10000.0
I-1981110199,UN1824,1981,HOUSTON BELT & TERMINAL RR,SODIUM HYDROXIDE  SOLUTION,0,1900.0
I-1981110273,UN1208,1981,ATCHISON TOPEKA & SF RR,HEXANES,0,13890.0
I-1981110566,UN1823,1981,SOUTHERN RAILWAY SYSTEM,SODIUM HYDROXIDE  SOLID,0,8000.0
I-1981110590,UN1063,1981,BALTIMORE & OHIO R.R.,METHYL CHLORIDE OR REFRIGERANT GAS R 40,0,20000.0
I-1981110644,UN1066,1981,UNION PACIFIC RR CO.,NITROGEN  COMPRESSED,0,4000.0
I-1981120234,UN1789,1981,SEABOARD COAST LINE RR CO,HYDROCHLORIC ACID  SOLUTION,0,25000.0
I-1981120493,UN1789,1981,WESTERN PACIFIC RAILROAD CO,HYDROCHLORIC ACID  SOLUTION,0,1600.0
I-1982010255,UN1832,1981,BALTIMORE & OHIO RR CO.,SULFURIC ACID  SPENT,0,2000.0
I-1982010317,UN1719,1982,NORFOLK AND WESTERN RW CO,CAUSTIC ALKALI LIQUIDS  N.O.S.,0,1500.0
I-1982010319,UN1987,1981,SOUTHERN PACIFIC TRANS,ALCOHOLS  N.O.S.,0,29000.0
I-1982020151,UN1814,1982,NORFOLK & WESTERN RAILWAY CO,POTASSIUM HYDROXIDE  SOLUTION,0,10500.0
I-1982020152,UN1993,1982,NORFOLK AND WESTERN RR CO,FLAMMABLE LIQUIDS  N.O.S.,0,16400.0
I-1982020162,UN1987,1982,SOUTHERN PACIFIC TRANSPORT.,ALCOHOLS  N.O.S.,0,1351.0
I-1982030051,UN2582,1982,CONSOLIDATED RAIL CORP(CONRAIL,FERRIC CHLORIDE  SOLUTION,0,10000.0
I-1982030057,UN1987,1982,CONSOLIDATED RAIL CORP(CONRAIL,ALCOHOLS  N.O.S.,0,29940.0
I-1982030124,UN1824,1982,BURLINGTON NORTHERN RR,SODIUM HYDROXIDE  SOLUTION,0,16000.0
I-1982030349,UN1789,1982,INDIANA HARBOR BELT RR,HYDROCHLORIC ACID  SOLUTION,0,23987.5
I-1982030439,UN1956,1982,LOUISVILLE & NASHVILLE RR CO,COMPRESSED GAS  N.O.S,0,21425.0
I-1982030493,UN1824,1982,MAINE CENTRAL RAILROAD CO,SODIUM HYDROXIDE  SOLUTION,0,10000.0
I-1982030504,UN1789,1982,CONSOLIDATED RAIL CORP(CONRAIL,HYDROCHLORIC ACID  SOLUTION,0,20000.0
I-1982030605,NA9188,1981,CONSOLIDATED RAIL CORP(CONRAIL,HAZARDOUS SUBSTANCE  LIQUID OR SOLID  N.O.S. OR ORM-E  LIQUID OR SOLID  N.O.S.,0,3000.0
I-1982040189,UN1987,1982,UNION PACIFIC RAILROAD,ALCOHOLS  N.O.S.,0,1800.0
I-1982040198,UN1809,1982,GEORGIA RR,PHOSPHORUS TRICHLORIDE,0,9100.0
I-1982040320,UN1824,1982,CLINCHFIELD RR CO.,SODIUM HYDROXIDE  SOLUTION,0,2058.0
I-1982040323,UN1005,1982,MISSOURI PACIFIC RAILROAD CO,AMMONIA ANHYDROUS,0,19287.5
I-1982040342,NA1760,1981,ATCHISON  TOPEKA & SANTA FE,ACID  LIQUID  N.O.S.,0,1900.0
I-1982040343,UN1830,1981,LOUISVILLE & NASHVILLE RAILROA,SULFURIC ACID,0,13000.0
I-1982040350,UN1987,1982,UNION PACIFIC RR CO.,ALCOHOLS  N.O.S.,0,1800.0
I-1982040508,UN1267,1982,THE BALTIMORE & OHIO RR CO.,PETROLEUM CRUDE OIL,0,20900.0
I-1982040511,NA1993,1982,NORFOLK AND WESTERN RR CO,FUEL OIL,0,6000.0
I-1982040514,UN1830,1982,SPOKANE INTERNATIONAL R.R.,SULFURIC ACID,0,2800.0
I-1982040637,UN2790,1982,LOUISVILLE & NASHVILLE RR CO,ACETIC ACID SOLUTION  NOT LESS THAN 50 PERCENT BUT NOT MORE THAN 80 PERCENT ACID  BY MASS,0,63996.0
I-1982040638,UN1824,1982,CLINCHFIELD RR CO.,SODIUM HYDROXIDE  SOLUTION,0,2058.0
I-1982040639,UN1987,1982,S PACIFIC TRANSPORTAION CO.,ALCOHOLS  N.O.S.,0,23536.0
I-1982050006,UN1075,1982,MISSOURI PACIFIC RR,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,2000.0
I-1982050015,UN1247,1982,MISSOURI PACIFIC RR,METHYL METHACRYLATE MONOMER  STABILIZED,0,38595.0
I-1982050368,UN1198,1982,SOUTHERN PACIFIC TRANSPORTATIO,FORMALDEHYDE SOLUTION (FLASH POINT NOT MORE THAN 141 DEG F.; IN CONTAINERS OVER 110 GALLONS),0,21000.0
I-1982050552,UN1086,1982,KANSAS CITY SRTH RR CO.,VINYL CHLORIDE  INHIBITED OR VINYL CHLORIDE  STABILIZED,0,55400.0
I-1982060319,UN1830,1982,SOUTHERN RAILWAY SYSTEM,SULFURIC ACID,0,13000.0
I-1982060388,UN1089,1982,BURLINGTON NORTHERN R/R,ACETALDEHYDE,0,21000.0
I-1982060486,UN1993,1982,SEABOARD COAST LINE RR CO,FLAMMABLE LIQUIDS  N.O.S.,0,10485.0
I-1982070582,UN1987,1982,ILLINOIS CENTRAL GULF RAILROAD,ALCOHOLS  N.O.S.,0,66313.0
I-1982080095,UN1783,1982,ATLANTA & WEST POINT RAILROAD,HEXAMETHYLENEDIAMINE SOLUTION,0,39999.0
I-1982090162,UN1075,1982,DORCHESTER SEA 3 PRODUCTS INC,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,10261.0
I-1982090284,UN1090,1982,CONSOLIDATED RAIL CORP(CONRAIL,ACETONE,0,13000.0
I-1982100322,UN1830,1982,SOUTHERN PACIFIC TRANSPORTATIO,SULFURIC ACID,0,27000.0
I-1982110233,UN1649,1982,ILLINOIS CENTRAL GULF RAILROAD,MOTOR FUEL ANTI-KNOCK MIXTURES,0,9460.0
I-1982110233,UN1778,1982,ILLINOIS CENTRAL GULF RAILROAD,FLUOROSILICIC ACID,0,25025.0
I-1982110233,UN1805,1982,ILLINOIS CENTRAL GULF RAILROAD,PHOSPHORIC ACID SOLUTION,0,281362.5
I-1982110233,UN1824,1982,ILLINOIS CENTRAL GULF RAILROAD,SODIUM HYDROXIDE  SOLUTION,0,24377.0
I-1982110233,UN2055,1982,ILLINOIS CENTRAL GULF RAILROAD,STYRENE MONOMER  STABILIZED,0,23205.0
I-1982110233,UN2078,1982,ILLINOIS CENTRAL GULF RAILROAD,TOLUENE DIISOCYANATE,0,24070.0
I-1982110282,UN1824,1982,SEABOARD COAST LINE RR CO,SODIUM HYDROXIDE  SOLUTION,0,10134.0
I-1982110307,NA9188,1982,KANSAS CITY SOUTHERN RAILWAY C,HAZARDOUS SUBSTANCE  LIQUID OR SOLID  N.O.S. OR ORM-E  LIQUID OR SOLID  N.O.S.,0,7500.0
I-1982120185,UN2055,1982,GRAND TRUNK WESTERN RAILROAD C,STYRENE MONOMER  STABILIZED,0,1040.0
I-1983010053,NA1136,1982,CHESAPEAKE & OHIO RR,COAL TAR LIGHT OIL,0,9900.0
I-1983010141,NA1993,1982,MISSOURI PACIFIC RR,COMPOUND  TREE OR WEED KILLING  LIQUID,0,1050.0
I-1983010215,UN2073,1982,MISSOURI PACIFIC RAILROAD COMP,AMMONIA SOLUTIONS  RELATIVE DENSITY LESS THAN 0.880 AT 15 DEGREES C IN WATER  WITH MORE THAN 35 PERCENT BUT NOT MORE THAN 50 PERCENT AMMONIA,0,3000.0
I-1983010252,NA1993,1982,SEABOARD COAST LINE RR CO,FUEL OIL,0,1600.0
I-1983010253,UN2789,1982,SEABOARD COAST LINE RR CO,ACETIC ACID  GLACIAL OR ACETIC ACID SOLUTION  WITH MORE THAN 80 PERCENT ACID  BY MASS,0,7500.0
I-1983020005,NA1993,1983,BURLINGTON NORTHERN RR,FUEL OIL  NO. 1  2  4  5  OR 6,0,24000.0
I-1983020046,UN1778,1983,UNION PACIFIC RAILROAD,FLUOROSILICIC ACID,0,1500.0
I-1983020073,UN1805,1983,ILLINOIS CENTRAL GULF RAILROAD,PHOSPHORIC ACID SOLUTION,0,3500.0
I-1983020247,NA1993,1983,BURLINGTON NORTHERN RR CO.,FUEL OIL  NO. 1  2  4  5  OR 6,0,1500.0
I-1983020291,NA9189,1983,UNION PACIFIC RR CO.,HAZARDOUS WASTE  LIQUID OR SOLID  N.O.S.,0,4600.0
I-1983030064,NA1993,1983,BURLINGTON NORTHERN INC,FUEL OIL  NO. 1  2  4  5  OR 6,0,2000.0
I-1983030066,UN1830,1983,HOUSTON BELT & TERMINAL RW,SULFURIC ACID,0,5000.0
I-1983040074,NA1993,1983,CONSOLIDATED RAIL CORP(CONRAIL,COMBUSTIBLE LIQUID  N.O.S.,0,8000.0
I-1983040074,UN1830,1983,CONSOLIDATED RAIL CORP(CONRAIL,SULFURIC ACID,0,3500.0
I-1983040143,UN1230,1983,ALLEMANIA CHEMICAL COMPANY,METHANOL,0,25000.0
I-1983040189,UN1267,1983,CONSOLIDATED RAIL CORP(CONRAIL,PETROLEUM CRUDE OIL,0,45000.0
I-1983040362,UN1993,1983,CHICAGO & NORTHWESTERN TRANS.,FLAMMABLE LIQUIDS  N.O.S.,0,1500.0
I-1983060170,UN1987,1983,AT&SF RAILWAY COMPANY,ALCOHOLS  N.O.S.,0,76726.0
I-1983060249,UN1089,1983,MISSOURI PACIFIC RAILROAD CO,ACETALDEHYDE,0,19501.0
I-1983060249,UN1760,1983,MISSOURI PACIFIC RAILROAD CO,CORROSIVE LIQUIDS  N.O.S.,0,8500.0
I-1983060401,UN1987,1983,MISSOURI PACIFIC RR,ALCOHOLS  N.O.S.,0,1500.0
I-1983060468,UN2553,1983,CONSOLIDATED RAIL CORP(CONRAIL,NAPHTHA,0,20000.0
I-1983070086,UN1402,1982,LOUISVILLE & NASHVILLE RR,CALCIUM CARBIDE,0,3300.0
I-1983070205,UN1294,1983,SOUTHERN PACIFIC TRANSPORT. CO,TOLUENE,0,25000.0
I-1983080068,UN1863,1983,SEABOARD SYSTEM RAILROAD,FUEL  AVIATION  TURBINE ENGINE,0,2000.0
I-1983080367,UN1789,1983,SOUTHERN RAILWAY SYSTEM,HYDROCHLORIC ACID  SOLUTION,0,2650.0
I-1983080485,UN1987,1983,BURLINGTON NORTHERN RAILWAY CO,ALCOHOLS  N.O.S.,0,4500.0
I-1983080488,UN1005,1983,ATCHISON TOPEKA & SANTA FE RAI,AMMONIA ANHYDROUS,0,16750.0
I-1983080529,UN1086,1983,FORMOSA PLASTICS CORPORATION,VINYL CHLORIDE  INHIBITED OR VINYL CHLORIDE  STABILIZED,0,43250.0
I-1983090061,UN1198,1983,SOUTHERN PACIFIC TRANSPORT.CO.,FORMALDEHYDE SOLUTION (FLASH POINT NOT MORE THAN 141 DEG F.; IN CONTAINERS OVER 110 GALLONS),0,20000.0
I-1983090267,UN1089,1983,MISSOURI PACIFIC RAILROAD CO,ACETALDEHYDE,0,4029.0
I-1983090411,UN1230,1983,SEABOARD SYSTEM RAILROAD,METHANOL,0,6702.0
I-1983090464,UN1805,1983,SOUTHERN PACIFIC TRANSPORTATIO,PHOSPHORIC ACID SOLUTION,0,2000.0
I-1983090597,UN1230,1983,ASHLEY DREW & NORTHERN RAILWAY,METHANOL,0,15000.0
I-1983100112,UN1075,1983,BALTIMORE & OHIO R.R.,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,124071.0
I-1983100112,UN1830,1983,BALTIMORE & OHIO R.R.,SULFURIC ACID,0,37425.0
I-1983100112,UN1987,1983,BALTIMORE & OHIO R.R.,ALCOHOLS  N.O.S.,0,64909.0
I-1983110013,UN1760,1983,CHESSIE SYSTEM,CORROSIVE LIQUIDS  N.O.S.,0,4800.0
I-1983110350,NA1993,1983,CONSOLIDATED RAIL CORP(CONRAIL,COMBUSTIBLE LIQUID  N.O.S.,0,20000.0
I-1983120130,UN1255,1983,AT&SF RAILWAY COMPANY,NAPHTHA  PETROLEUM,0,30581.0
I-1983120203,UN1830,1983,AMOCO OIL CO.,SULFURIC ACID,0,5200.0
I-1983120251,UN1789,1983,NICHOLSON CHEMICAL IND.  INC.,HYDROCHLORIC ACID  SOLUTION,0,5000.0
I-1984010077,NA1993,1983,BURLINGTON NORTHERN RR CO.,FUEL OIL,0,4000.0
I-1984010198,UN1830,1984,ILLINOIS CENTRAL GULF RAILROAD,SULFURIC ACID,0,10000.0
I-1984010316,UN1255,1984,CONSOLIDATED RAIL CORP(CONRAIL,NAPHTHA  PETROLEUM,0,2000.0
I-1984010321,UN2582,1984,CONSOLIDATED RAIL CORP(CONRAIL,FERRIC CHLORIDE  SOLUTION,0,9957.0
I-1984010393,UN1830,1984,SEABOARD SYSTEM RAILROAD,SULFURIC ACID,0,13860.0
I-1984020284,UN1789,1984,ATCHISON TOPEKA & SANTA FE RY,HYDROCHLORIC ACID  SOLUTION,0,2200.0
I-1984020293,NA1986,1983,BOSTON & MAINE CORP,DENATURED ALCOHOL,0,1800.0
I-1984020298,UN3065,1984,ELGIN JOLIET & EASTERN RY CO,ALCOHOLIC BEVERAGES,0,2143.0
I-1984020426,UN1307,1984,BELT RAILWAY CO OF CHICAGO,XYLENES,0,1076.0
I-1984030020,UN1268,1984,ATCHISON TOPEKA & SANTA FE RY,PETROLEUM DISTILLATES  N.O.S. OR PETROLEUM PRODUCTS  N.O.S.,0,1200.0
I-1984030160,UN1171,1984,CONSOLIDATED RAIL CORP(CONRAIL,ETHYLENE GLYCOL MONOETHYL ETHER ('CELLOSOLVE'),0,20000.0
I-1984030247,NA1993,1984,BURLINGTON NORTHERN RR CO.,FUEL OIL,0,5100.0
I-1984030306,UN1987,1984,UNION PACIFIC RR CO.,ALCOHOLS  N.O.S.,0,2600.0
I-1984030335,NA1993,1984,BURLINGTON NORTHERN RR CO.,FUEL OIL,0,4838.0
I-1984040127,UN1824,1984,BELT RAILWAY CO OF CHICAGO,SODIUM HYDROXIDE  SOLUTION,0,16000.0
I-1984040249,UN1805,1984,SOUTHERN RAILWAY SYSTEM,PHOSPHORIC ACID SOLUTION,0,335100.0
I-1984050021,UN1230,1984,SEABOARD SYSTEM RAILROAD,METHANOL,0,83000.0
I-1984050126,NA1993,1984,UNION PACIFIC RR CO.,CREOSOTE  COAL TAR,0,40000.0
I-1984050139,UN2047,1984,SOUTHERN PAC TRANSPORTATION CO,DICHLOROPROPENES,0,20000.0
I-1984050298,UN1824,1984,CHESAPEAKE & OHIO RWY CO,SODIUM HYDROXIDE  SOLUTION,0,15060.0
I-1984050314,UN1805,1984,SOUTHERN RAILWAY SYSTEM,PHOSPHORIC ACID SOLUTION,0,1200.0
I-1984050473,UN1267,1984,CHESSIE SYSTEM,PETROLEUM CRUDE OIL,0,3612.0
I-1984050476,NA1993,1984,UNION PACIFIC RR CO.,CREOSOTE  COAL TAR,0,19000.0
I-1984050477,NA1993,1984,UNION PACIFIC RR CO.,CREOSOTE  COAL TAR,0,19000.0
I-1984050509,UN1831,1984,SEABOARD SYSTEM RAILROAD,SULFURIC ACID  FUMING,0,3850.0
I-1984060362,UN1805,1983,SEABOARD SYSTEM RAILROAD,PHOSPHORIC ACID SOLUTION,0,100000.0
I-1984070113,NA1993,1984,CONSOLIDATED RAIL CORP(CONRAIL,FUEL OIL  NO. 1  2  4  5  OR 6,0,20000.0
I-1984070129,UN1719,1984,AMERICAN OIL CO (AMOCO),CAUSTIC ALKALI LIQUIDS  N.O.S.,0,1100.0
I-1984070318,UN2067,1984,ATCHISON TOPEKA & SANTA FE RY,AMMONIUM NITRATE FERTILIZERS,0,2500.0
I-1984090095,UN1805,1984,UNION PACIFIC RR CO.,PHOSPHORIC ACID SOLUTION,0,9000.0
I-1984090135,NA1760,1984,SEABOARD SYSTEM RAILROAD,ALUMINUM SULFATE SOLUTION,0,1418.0
I-1984090172,UN1951,1984,SEABOARD SYSTEM RAILROAD,ARGON  REFRIGERATED LIQUID (CRYOGENIC LIQUID),0,16000.0
I-1984090225,UN2055,1984,CONSOLIDATED RAIL CORP(CONRAIL,STYRENE MONOMER  STABILIZED,0,11000.0
I-1984100161,UN1789,1984,ILLINOIS CENTRAL GULF RAILROAD,HYDROCHLORIC ACID  SOLUTION,0,2080.0
I-1984100168,UN3065,1984,CONSOLIDATED RAIL CORP(CONRAIL,ALCOHOLIC BEVERAGES,0,14000.0
I-1984100388,UN1824,1984,DELAWARE & HUDSON RAILWAY CO,SODIUM HYDROXIDE  SOLUTION,0,12000.0
I-1984100509,UN1789,1984,CONSOLIDATED RAIL CORP(CONRAIL,HYDROCHLORIC ACID  SOLUTION,0,8500.0
I-1984100554,UN1263,1984,ATCHISON TOPEKA & SANTA FE RY,PAINT INCLUDING PAINT  LACQUER  ENAMEL  STAIN  SHELLAC SOLUTIONS  VARNISH  POLISH  LIQUID FILLER AND LIQUID LACQUER BASE,0,1600.0
I-1984100554,UN1263,1984,ATCHISON TOPEKA & SANTA FE RY,PAINT RELATED MATERIAL INCLUDING PAINT THINNING  DRYING  REMOVING  OR REDUCING COMPOUND,0,1512.0
I-1984100557,UN1075,1984,SOUTHERN PAC TRANSPORTATION CO,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,1148.0
I-1984110170,UN1075,1984,CAL-GAS (CALIFORNIA LIQUID GAS,PETROLEUM GASES  LIQUEFIED OR LIQUEFIED PETROLEUM GAS,0,2500.0
I-1984120177,UN1593,1984,CHESSIE SYSTEM,DICHLOROMETHANE,0,18000.0
